Day,Temperature,Description
This Afternoon,51,"Mostly sunny, with a high near 51. West wind around 13 mph."
Tonight,30,"Partly cloudy. Low around 30, with temperatures rising to around 32 overnight. Wind chill values as low as 21. West wind 13 to 17 mph, with gusts as high as 28 mph."
Sunday,41,"Mostly sunny, with a high near 41. Wind chill values as low as 19. West wind 16 to 20 mph."
Sunday Night,31,"Mostly clear, with a low around 31. Wind chill values as low as 24. West wind 9 to 18 mph."
Monday,50,"Sunny, with a high near 50. Southwest wind 8 to 13 mph."
Monday Night,35,"Mostly clear. Low around 35, with temperatures rising to around 37 overnight."
Tuesday,56,"Sunny, with a high near 56."
Tuesday Night,39,"Partly cloudy, with a low around 39."
Wednesday,54,"Mostly cloudy, with a high near 54."
Wednesday Night,46,"A chance of rain showers after 8pm. Mostly cloudy, with a low around 46. Chance of precipitation is 40%."
Thursday,60,"A chance of rain showers. Mostly cloudy, with a high near 60. Chance of precipitation is 40%."
Thursday Night,46,"A chance of rain showers. Mostly cloudy, with a low around 46. Chance of precipitation is 40%."
Friday,56,"A chance of rain showers. Cloudy, with a high near 56. Chance of precipitation is 50%."
Friday Night,47,"A chance of rain showers. Mostly cloudy, with a low around 47. Chance of precipitation is 50%."
